Zone,Mean_SPD
1,10.73928571
2,11.59827947
3,11.17885277
4,11.74604235
5,10.85800367
6,11.47125642
7,11.11691751
8,11.73509131
9,12.1951595
10,12.28020225
11,11.31915825
12,10.76623994
13,10.54193444
14,10.96535634
15,10.40067402
16,10.91597224
17,11.72390307
18,11.51198247
19,11.88703069
20,12.07275427
21,12.2874848
22,12.74884259
23,13.51532441
24,13.7728261
25,13.18821883
26,13.45291573
27,13.04932657
28,14.7757085
12 & 13,11.93181818
17&18,11.73913043
20 & 21,6.5625
24 & 23,10.625
